Sample	City	Location	Latitude	Longitude	Line	Interchange	Ground	Samplig_date	Temperature_Out	RH
SL335717	Oslo	Lindeberg	59.93276	10.88167	Line02	Station	Underground	27_06_2017	20	31
SL335723	Oslo	Løren	59.9301	10.78959	Line04	Station	Underground	27_06_2017	16	39
SL335720	Oslo	Majorstua	59.93016	10.71473	Line01	Interchange	Aboveground	27_06_2017	16	39
SL335715	Oslo	Montebello	59.93482	10.6664	Line03	Station	Aboveground	27_06_2017	16	39
SL335714	Oslo	Nationaltheateret	59.91546	10.73209	Line01	Interchange	Underground	27_06_2017	16	39
SL335722	Oslo	Nydalen	59.9494	10.76592	Line04	Interchange	Underground	27_06_2017	16	39
SL335709	Oslo	Romsås	59.9626	10.89248	Line04	Interchange	Underground	27_06_2017	20	31
SL335713	Oslo	Stortinget	59.91343	10.74329	Line01	Interchange	Underground	27_06_2017	16	39
SL335719	Oslo	Tøyen	59.91558	10.7758	Line01	Interchange	Underground	27_06_2017	20	31
SL335708	Oslo	Vestli	59.97204	10.92944	Line04	Interchange	Underground	27_06_2017	20	31
SL342448	Stockholm	Danderyd	59.21546	18.03144	Red	Station	Underground	27_09_2017	15	85
SL342449	Stockholm	Danderyd	59.20448	18.04165	Red	Station	Underground	27_09_2017	15	85
SL342454	Stockholm	Medborgarplatsen	59.19556	18.0144	Green	Interchange	Underground	27_09_2017	16	77
SL342453	Stockholm	Slussen	59.18277	18.04331	Green	Station	Underground	27_09_2017	15	85
SL342452	Stockholm	T-centralen	59.18515	18.04241	Green	Station	Underground	27_09_2017	15	85
SL342451	Stockholm	Tekniska hogskolan	59.19104	18.04194	Green	Interchange	Underground	27_09_2017	16	77
SL342447	Stockholm	Universitetet	59.23283	18.02298	Red	Station	Underground	27_09_2017	15	85
SL342450	Stockholm	Universitetet	59.19513	18.03327	Red	Interchange	Underground	27_09_2017	15	85
SL342521	Stockholm	Danderyd	59.21546	18.03144	Red	Station	Underground	28_09_2017	15	73
