Contig	ARG
4094	Yes
4096	Yes
4098	Yes
4101	Yes
4102	Yes
4105	Yes
4108	Yes
4109	Yes
4110	Yes
4111	Yes
4113	Yes
4121	Yes
4123	Yes
4124	Yes
4126	Yes
4129	Yes
4131	Yes
4133	Yes
4134	Yes
4142	Yes
4143	Yes
4148	Yes
4156	Yes
4159	Yes
4160	Yes
4162	Yes
4163	Yes
4166	Yes
4167	Yes
4168	Yes
4171	Yes
4172	Yes
4176	Yes
4179	Yes
4180	Yes
4182	Yes
4186	Yes
4188	Yes
4193	Yes
4195	Yes
4196	Yes
4199	Yes
4200	Yes
4203	Yes
4206	Yes
4211	Yes
4212	Yes
4214	Yes
4216	Yes
4218	Yes
4222	Yes
4225	Yes
4227	Yes
4230	Yes
4231	Yes
4233	Yes
4236	Yes
4238	Yes
4240	Yes
4242	Yes
4244	Yes
4245	Yes
4252	Yes
4255	Yes
4256	Yes
4260	Yes
4261	Yes
4263	Yes
4265	Yes
4268	Yes
4274	Yes
4275	Yes
4276	Yes
4277	Yes
4278	Yes
4279	Yes
4281	Yes
4283	Yes
4284	Yes
4286	Yes
4296	Yes
4297	Yes
4301	Yes
4303	Yes
4304	Yes
4305	Yes
4306	Yes
4307	Yes
4308	Yes
4309	Yes
4311	Yes
4314	Yes
4317	Yes
4319	Yes
4325	Yes
4327	Yes
4328	Yes
4331	Yes
4332	Yes
4335	Yes
4337	Yes
4339	Yes
4340	Yes
4341	Yes
4342	Yes
4343	Yes
4346	Yes
4347	Yes
4348	Yes
4350	Yes
4352	Yes
4355	Yes
4356	Yes
4359	Yes
4364	Yes
4367	Yes
4369	Yes
4372	Yes
4374	Yes
4375	Yes
4376	Yes
4378	Yes
4379	Yes
4381	Yes
4382	Yes
4383	Yes
4386	Yes
4388	Yes
4390	Yes
4392	Yes
4396	Yes
4397	Yes
4400	Yes
4405	Yes
4406	Yes
4410	Yes
4411	Yes
4412	Yes
4413	Yes
4415	Yes
4422	Yes
4423	Yes
4424	Yes
4426	Yes
4427	Yes
4428	Yes
4431	Yes
4433	Yes
4435	Yes
4436	Yes
4437	Yes
4440	Yes
4442	Yes
4443	Yes
4445	Yes
4446	Yes
4449	Yes
4451	Yes
4453	Yes
4454	Yes
4455	Yes
4459	Yes
4462	Yes
4467	Yes
4468	Yes
4472	Yes
4474	Yes
4475	Yes
4476	Yes
4478	Yes
4479	Yes
4482	Yes
4483	Yes
4486	Yes
4487	Yes
4490	Yes
4493	Yes
4494	Yes
4497	Yes
4500	Yes
4503	Yes
4504	Yes
4507	Yes
4508	Yes
4511	Yes
4512	Yes
4515	Yes
4516	Yes
4519	Yes
4521	Yes
4522	Yes
4523	Yes
4527	Yes
4528	Yes
4529	Yes
4532	Yes
4533	Yes
4534	Yes
4537	Yes
4538	Yes
4539	Yes
4540	Yes
4547	Yes
4550	Yes
4553	Yes
